datetime_str,x,y,z,vx,vy,vz,r_AU
A.D. 2025-Jan-01 00:00:00.0000,-0.1304858235456596,-0.4472010718128294,-0.024565019583464517,0.021355292381179492,-0.006465245967639952,-0.0024858415261042087,0.46649629040761775
A.D. 2025-Jan-06 00:00:00.0000,-0.02027757020019083,-0.46294137660028706,-0.03595410025520903,0.022461139670547407,0.00021986524016178073,-0.0020411807885388593,0.4647780065224194
A.D. 2025-Jan-11 00:00:00.0000,0.09137486891978974,-0.44465024306509554,-0.044695889123506534,0.0219129278614074,0.00711512797879442,-0.0014277179416518585,0.4561369617039361
A.D. 2025-Jan-16 00:00:00.0000,0.19580729751817244,-0.39181110721861373,-0.04995389748062525,0.019534227403322457,0.013993376924280985,-0.0006478335607743417,0.4408535282548513
A.D. 2025-Jan-21 00:00:00.0000,0.28319197928562984,-0.30533925608529944,-0.05090192195695246,0.015037660475266926,0.02048837872494675,0.00029490395376124935,0.41954828577572373
A.D. 2025-Jan-26 00:00:00.0000,0.34205800539586934,-0.18864336542973337,-0.0467667803231786,0.008068389866096396,0.025936198622352507,0.001378794328513606,0.39341724684849916
A.D. 2025-Jan-31 00:00:00.0000,0.3593427905910348,-0.0496661939450978,-0.036999716362951844,-0.0015999808855015616,0.029145422759127525,0.0025272779001576317,0.36464085204716606
A.D. 2025-Feb-05 00:00:00.0000,0.3222505428351915,0.0959662260920609,-0.02170400221652227,-0.01349355447382776,0.028235195530718092,0.003543281511506022,0.3369361847889641
A.D. 2025-Feb-10 00:00:00.0000,0.22427277638817084,0.22233970959523375,-0.0023996393576344024,-0.02538116801549814,0.02118175525805567,0.004056960985892994,0.31581479218174385
A.D. 2025-Feb-15 00:00:00.0000,0.0757178764870098,0.2973163598251858,0.01734332043380532,-0.03291847937141761,0.008010395387491825,0.0036721119405347742,0.3072962827680658
A.D. 2025-Feb-20 00:00:00.0000,-0.09145513227145674,0.29898709324544037,0.032805478764858446,-0.03256601686763165,-0.007182908690871018,0.0023988103791042245,0.3143779931597294
A.D. 2025-Feb-25 00:00:00.0000,-0.23828144859238146,0.23126109518454455,0.0407340148102245,-0.025320063822131252,-0.019045489791222604,0.0007655971604680136,0.33454297609096245
A.D. 2025-Mar-02 00:00:00.0000,-0.33969007458123335,0.11793129203188599,0.04077393539011373,-0.015050921991274276,-0.025372416077142062,-0.0006926164497098636,0.36188347602026677
A.D. 2025-Mar-07 00:00:00.0000,-0.38895468459383653,-0.014434617263460167,0.03447865038875705,-0.004818699374040741,-0.0269010480702932,-0.0017555207079172916,0.39074657026730714
A.D. 2025-Mar-12 00:00:00.0000,-0.3902792480595029,-0.14561411488271822,0.023885336998996323,0.004004492103698793,-0.02513744213097871,-0.0024203410824309057,0.41724317998323723
A.D. 2025-Mar-17 00:00:00.0000,-0.3518900380289137,-0.26237301811025393,0.010829112347933297,0.011050957478804552,-0.021297163061248015,-0.002752656255368646,0.4390711436322344
A.D. 2025-Mar-22 00:00:00.0000,-0.2827058227627375,-0.3564506318358868,-0.003197656046952836,0.016337874496865905,-0.01616552094445105,-0.0028181851485294023,0.45496138315724544
A.D. 2025-Mar-27 00:00:00.0000,-0.1912721578354562,-0.42267643089391893,-0.016989220314139037,0.019966886665856828,-0.010216856527262837,-0.0026649901559473847,0.46425104975986414
A.D. 2025-Apr-01 00:00:00.0000,-0.08568282336977501,-0.4577480357848766,-0.0295338395561643,0.022005664563187782,-0.0037426737787170394,-0.0023230850703531876,0.4666337516344676
A.D. 2025-Apr-06 00:00:00.0000,0.02612064628053397,-0.4595688043198943,-0.0399322147481023,0.022442777130500444,0.003052464089682035,-0.001808130668732656,0.4620393444727609
A.D. 2025-Apr-11 00:00:00.0000,0.1358959306251607,-0.4270098067487199,-0.047336514871478566,0.021166695849008203,0.009973410359115715,-0.0011258420899052407,0.4506060637188933
A.D. 2025-Apr-16 00:00:00.0000,0.23456631165214753,-0.36006425272146375,-0.0509140713451609,0.017954173420089977,0.016750387226717248,-0.0002777884501099631,0.43273532708908646
A.D. 2025-Apr-21 00:00:00.0000,0.3116697505444506,-0.26050095482036806,-0.049850246692388064,0.012479580350712172,0.022917815978794637,0.00072785406602736,0.40924788082781255
A.D. 2025-Apr-26 00:00:00.0000,0.35501066594594544,-0.1332852197919852,-0.04343256950996157,0.004402229286996471,0.027624467174892607,0.0018527897550150814,0.3816856178121192
A.D. 2025-May-01 00:00:00.0000,0.35123457461174085,0.01089325424845376,-0.0313098937050335,-0.006315361771463909,0.029396131506183205,0.0029800413618801262,0.352795548206936
A.D. 2025-May-06 00:00:00.0000,0.2890925153687775,0.15229277572115812,-0.014063465251128417,-0.018614367383070842,0.026146989310840175,0.0038421705997425796,0.32705558095524306
A.D. 2025-May-11 00:00:00.0000,0.1676758931496882,0.2612471756905848,0.005966878704448788,-0.029296239574061713,0.016342079279864,0.004020572865863675,0.31048493617456957
A.D. 2025-May-16 00:00:00.0000,0.006614486645183278,0.30730425837864367,0.024494229741663952,-0.03378694291868093,0.0016420245936503406,0.0032315602585577426,0.308349843427664
A.D. 2025-May-21 00:00:00.0000,-0.15643133812229262,0.2783312365384246,0.037075043382828576,-0.030204021835864354,-0.012702121353008522,0.0017314635856201365,0.3214243295420839
A.D. 2025-May-26 00:00:00.0000,-0.28639192197802305,0.1883887686370049,0.04164276095319872,-0.021230214762824995,-0.022326742056905793,0.00012264488404144008,0.3453183757963631
A.D. 2025-May-31 00:00:00.0000,-0.36626430279900085,0.06425857305616599,0.038826156207631676,-0.010711056475782492,-0.026498502057190544,-0.0011824551262703,0.37387989264189136
A.D. 2025-Jun-05 00:00:00.0000,-0.39488245001403793,-0.06963331007213779,0.030513451918773554,-0.00096981784359306,-0.026492097110157938,-0.0020749662693857833,0.4021343282395709
A.D. 2025-Jun-10 00:00:00.0000,-0.3787308193718842,-0.19612924903775875,0.01870055037598333,0.007132372716060969,-0.023750023028260285,-0.0025937671277932047,0.4269114972152644
A.D. 2025-Jun-15 00:00:00.0000,-0.3265583513572765,-0.3043130349399327,0.0050811524380067604,0.013441338912657006,-0.019302393957732266,-0.002808863232147364,0.446399594741789
A.D. 2025-Jun-20 00:00:00.0000,-0.24718196671655135,-0.3873906552997639,-0.008981509976125169,0.01803183417217163,-0.013788904487303376,-0.00277935791559828,0.4596206174715121
A.D. 2025-Jun-25 00:00:00.0000,-0.14894047867574767,-0.44107521188796744,-0.022372816895464213,0.020999966611962215,-0.007594764521361026,-0.0025455259029823043,0.46608062785961635
A.D. 2025-Jun-30 00:00:00.0000,-0.03981710373897017,-0.4626160469979418,-0.034136228058614826,0.022384197140821013,-0.0009655094452713374,-0.0021309484572301623,0.46557952140985703
A.D. 2025-Jul-05 00:00:00.0000,0.07218290434601779,-0.4503231686201376,-0.04339981811789691,0.022133713627993983,0.005907334095612963,-0.0015466112433133485,0.45813193742477043
A.D. 2025-Jul-10 00:00:00.0000,0.17854051913695138,-0.40348785729830133,-0.04932471164317641,0.02009166979749523,0.01280934883112987,-0.0007956488845560687,0.44397307929597374
A.D. 2025-Jul-15 00:00:00.0000,0.26967047102261205,-0.32272128907570236,-0.051082093764787506,0.015989002475163345,0.019407913208244476,0.00011943662399572716,0.4236514766498933
A.D. 2025-Jul-20 00:00:00.0000,0.334409553579143,-0.21088324123416843,-0.04788215703111346,0.009475004287023804,0.025105780865529028,0.0011820135128307475,0.3982388628956024
A.D. 2025-Jul-25 00:00:00.0000,0.3599150258032689,-0.07492674153147542,-0.03911545834921663,0.0002739671367632298,0.028821261624898748,0.0023290050263782636,0.36970645311836464
A.D. 2025-Jul-30 00:00:00.0000,0.33306232026373767,0.07111174176265861,-0.02472529354902306,-0.01132777295357115,0.028787990528738636,0.0033898844064128375,0.34146556068960887
A.D. 2025-Aug-04 00:00:00.0000,0.24556831693293074,0.20312131175393164,-0.0059216807575992484,-0.023483510512984345,0.02290088231456949,0.00402341034445196,0.3187430499209436
A.D. 2025-Aug-09 00:00:00.0000,0.10406880306268945,0.28919719614117473,0.014081057628981226,-0.03212053217623191,0.010613793085124126,0.003811605187829221,0.30767451992449524
A.D. 2025-Aug-14 00:00:00.0000,-0.06278335895919517,0.3041491814094244,0.030598615006344258,-0.03321322077281209,-0.004650255753615215,0.002665010347164544,0.3120652975813372
A.D. 2025-Aug-19 00:00:00.0000,-0.2155199916311521,0.24713541486349822,0.03994395834606539,-0.0269130313852173,-0.017365300459169015,0.0010488713766858,0.33033361905927383
A.D. 2025-Aug-24 00:00:00.0000,-0.3257713929831466,0.13973608362671908,0.041278947075700075,-0.01689985358999466,-0.024655980864892298,-0.00046459601924393767,0.3568713003663809
A.D. 2025-Aug-29 00:00:00.0000,-0.3840177056043148,0.009015660402342786,0.03594146875177828,-0.006521510037338437,-0.026912657191630638,-0.0016003626814640255,0.3858013342720935
A.D. 2025-Sep-03 00:00:00.0000,-0.3931568109372666,-0.12349695315306841,0.025955669567354598,0.0025919472741222273,-0.025622435412348637,-0.002330459388687308,0.41291339552882333
A.D. 2025-Sep-08 00:00:00.0000,-0.36104356763537476,-0.24347526157869342,0.013211837120036502,0.00995228184543901,-0.022076554951060916,-0.00271559520483357,0.4356686968004231
A.D. 2025-Sep-13 00:00:00.0000,-0.29659585132466,-0.341944788119986,-0.0007394412087077615,0.015538703510478966,-0.017128877170778423,-0.002823607588731035,0.45265426532699665
A.D. 2025-Sep-18 00:00:00.0000,-0.20844678485103652,-0.41330280940812664,-0.0146490878050076,0.019449977201342925,-0.011297858912510929,-0.0027058984424595633,0.46312403322749657
A.D. 2025-Sep-23 00:00:00.0000,-0.10475371087456976,-0.4539826779701592,-0.02747794922245729,0.02176411516790109,-0.004899122851049863,-0.0023953996545014876,0.46672116893539567
A.D. 2025-Sep-28 00:00:00.0000,0.00654493599634029,-0.4617056208788917,-0.03831213416547365,0.022485327422937063,0.0018534219107764155,-0.0019099692796334176,0.4633386840775032
A.D. 2025-Oct-03 00:00:00.0000,0.1172959041640464,-0.43517454483335244,-0.04629824146176195,0.021520615967900072,0.008768493113364327,-0.0012567056049078876,0.4530769700249928
A.D. 2025-Oct-08 00:00:00.0000,0.21860837575136363,-0.3741566798282334,-0.05060218702217997,0.01866650104135743,0.01559655031921506,-0.0004373369598666793,0.4362836512409836
A.D. 2025-Oct-13 00:00:00.0000,0.3002976223592746,-0.28003543615764176,-0.05040327631495133,0.013612367540807956,0.021917547175747776,0.0005423031010120291,0.41368949438185576
A.D. 2025-Oct-18 00:00:00.0000,0.35047019041036953,-0.15707173523895696,-0.04495920148910723,0.006006702369617122,0.02696448850878716,0.0016517915874483728,0.38668102381135255
A.D. 2025-Oct-23 00:00:00.0000,0.35584669560522114,-0.01472444686937804,-0.0338251671178556,-0.004281677657892653,0.029385626031044675,0.00279274397904629,0.3577538567776941
A.D. 2025-Oct-28 00:00:00.0000,0.3043768118538169,0.12905308721803493,-0.017362881086116784,-0.016465853159926422,0.0271662067551206,0.003728453878524398,0.3310610405263812
A.D. 2025-Nov-02 00:00:00.0000,0.19254377854737836,0.24605276214553645,0.0024460194046213913,-0.027758229303092744,0.018508744457201565,0.004056548036354778,0.3124436772086732
A.D. 2025-Nov-07 00:00:00.0000,0.03598849812601598,0.304695546392826,0.021588268760350252,-0.033598551731675357,0.004345930408500647,0.003435144448572701,0.3075721075407491
A.D. 2025-Nov-12 00:00:00.0000,-0.12961168643478455,0.28843478252495314,0.0354415924210782,-0.03133177537899423,-0.010466330668216844,0.0020174705361207146,0.31819792504670386
A.D. 2025-Nov-17 00:00:00.0000,-0.26712052691049554,0.2073023838081509,0.04142090785900584,-0.02299938563827546,-0.021061298367385302,0.0003881962207999972,0.34065135525540907
A.D. 2025-Nov-22 00:00:00.0000,-0.3561414123904219,0.08718879196066273,0.03977107440678529,-0.012530280623164958,-0.026116683520068133,-0.000984489641170491,0.36880934020503653
A.D. 2025-Nov-27 00:00:00.0000,-0.3933480979621092,-0.04644372767967847,0.032266914694267956,-0.002560738482320854,-0.026726105659209343,-0.0019482314217328077,0.39739262674976783
A.D. 2025-Dec-02 00:00:00.0000,-0.38439028008259285,-0.17516127192005151,0.020932049793754993,0.005849929033206099,-0.024373799395086302,-0.0025271483448964177,0.4229367675092728
A.D. 2025-Dec-07 00:00:00.0000,-0.3378493218193871,-0.28711615531338697,0.007520900816923049,0.012468687997989442,-0.020168076081296053,-0.0027904037662861204,0.44343479210009984
A.D. 2025-Dec-12 00:00:00.0000,-0.2625992807321993,-0.3749318680566565,-0.0065504838718505425,0.01735087348260751,-0.014807112830477212,-0.002800097682413381,0.4577938365295866
A.D. 2025-Dec-17 00:00:00.0000,-0.1670646992377896,-0.43397087214296953,-0.02013098476008031,0.02059677044887162,-0.008711200857314451,-0.002599753175030055,0.4654530998364425
A.D. 2025-Dec-22 00:00:00.0000,-0.05926805330048175,-0.46126112383020995,-0.03224237963503207,0.022257881048818935,-0.002143437358253626,-0.002215581520433009,0.46616960169413296
A.D. 2025-Dec-27 00:00:00.0000,0.05282223394545413,-0.4549442047606732,-0.042002362552159785,0.02230038548506044,0.004700699446973339,-0.0016604489313157206,0.45992240248141064
A.D. 2026-Jan-01 00:00:00.0000,0.16081534378524817,-0.41412910913000883,-0.04856892245496488,0.02058677886112895,0.011616728557515365,-0.0009384515697284747,0.44690427840200714
